id,nombre,PBI,region
MOZ,Mozambique,558.298606448221,Sub-Saharan Africa
MUS,Mauritius,10256.2303053576,Sub-Saharan Africa
MWI,Malawi,645.158692067185,Sub-Saharan Africa
NAM,Namibia,5031.11503011478,Sub-Saharan Africa
NCL,New Caledonia,35745.1850468561,East Asia & Pacific
NER,Niger,585.404929171026,Sub-Saharan Africa
NGA,Nigeria,2162.63373428577,Sub-Saharan Africa
NIC,Nicaragua,2255.42599496242,Latin America & Caribbean
NLD,Netherlands,57025.01245598,Europe & Central Asia
NOR,Norway,106177.197179078,Europe & Central Asia
NPL,Nepal,1336.54604729847,South Asia
NRU,Nauru,11970.9382798352,East Asia & Pacific
NZL,New Zealand,48418.5916631992,East Asia & Pacific
OMN,Oman,25056.7948608378,Middle East & North Africa
PAK,Pakistan,1588.8798287911,South Asia
PAN,Panama,17357.628633794,Latin America & Caribbean
PER,Peru,7125.82993135746,Latin America & Caribbean
PHL,Philippines,3498.5098055874,East Asia & Pacific
PNG,Papua New Guinea,3115.92292304288,East Asia & Pacific
PRT,Portugal,24515.2658507319,Europe & Central Asia
PRY,Paraguay,6153.05565720044,Latin America & Caribbean
PSE,West Bank and Gaza,3789.32796575153,Middle East & North Africa
PYF,French Polynesia,18984.8510962405,East Asia & Pacific
QAT,Qatar,87661.4501457275,Middle East & North Africa
ROU,Romania,15786.8017421977,Europe & Central Asia
RUS,Russian Federation,15270.7060546875,Europe & Central Asia
RWA,Rwanda,966.232071361993,Sub-Saharan Africa
SAU,Saudi Arabia,30447.8837074473,Middle East & North Africa
SDN,Sudan,1102.146484375,Sub-Saharan Africa
SEN,Senegal,1598.72643336012,Sub-Saharan Africa
SGP,Singapore,82807.6290622897,East Asia & Pacific
SLB,Solomon Islands,2205.25180509148,East Asia & Pacific
SLE,Sierra Leone,475.795727844622,Sub-Saharan Africa
SOM,Somalia,592.103121972088,Sub-Saharan Africa
STP,Sao Tome and Principe,2386.6961758184,Sub-Saharan Africa
SUR,Suriname,5858.82466074423,Latin America & Caribbean
SVK,Slovak Republic,21256.8084273666,Europe & Central Asia
