id,id_sede
423,EPBAJ
424,EITAL
425,CHONG
426,ECANA
427,ESING
428,EVIET
429,ESUIZ
430,EEARB
431,ESUEC
432,ERUNI
433,ECOLO
434,EBOLV
435,EBOLV
436,EFRAN
437,EISRA
438,EBRAS
439,EECUA
440,CSHAN
441,EHOND
442,EFRUS
443,ECHIN
444,EHILE
445,EFRUS
446,CNYOR
447,EFRAN
448,EPERU
449,EETIO
450,EALEM
451,ECHES
452,ECHIN
453,ESUIZ
454,EARGE
455,EMSIA
456,EECUA
457,EAUST
458,EEARB
459,ECORE
460,EEEUU
461,EVENE
462,EEGIP
463,EUNGR
464,EHAIT
465,ELBNO
466,EANGO
467,EMEXI
468,ENIGE
469,EQATR
470,EMARR
471,EURUG
472,EFRUS
473,EIRLA
474,EISIA
475,ETUNE
476,ECEUR
477,EHILE
478,ETAIL
479,ESURI
480,EITAL
481,EAZER
482,EUCRA
483,EINDI
484,EBELG
485,EMOZA
486,ERUNI
487,ENZEL
488,ESUEC
489,EBARB
490,EVIET
491,EESPA
492,ERUNI
493,ESING
494,EISRA
495,EFRAN
496,EBOLV
497,EESPA
498,ECOLO
499,EPBAJ
500,CSHAN
501,ERUNI
502,EECUA
503,EARGE
504,CRECI
505,EHILE
506,EVIET
507,ECEUR
508,ESSED
509,DITIC
510,CSHAN
511,EALEM
512,CRIOJ
513,EMEXI
514,EHILE
515,CNYOR
516,CNYOR
