,id,nombre,PBI,Region
108,LAC,Latin America & Caribbean (excluding high income),9795.79172340809,
109,LBR,Liberia,754.532842914744,Sub-Saharan Africa
110,LBY,Libya,6716.09598462328,Middle East & North Africa
111,LCA,St. Lucia,13030.9284804245,Latin America & Caribbean
112,LCN,Latin America & Caribbean,10344.1878492237,
113,LDC,Least developed countries: UN classification,1268.33895173377,
114,LIC,Low income,750.466942491605,
115,LKA,Sri Lanka,3354.38340757565,South Asia
116,LMC,Lower middle income,2561.45757553091,
117,LMY,Low & middle income,5886.21476419177,
118,LSO,Lesotho,969.935760159406,Sub-Saharan Africa
119,LTE,Late-demographic dividend,12072.7671900597,
120,LUX,Luxembourg,125006.021815486,Europe & Central Asia
121,LVA,Latvia,21779.5042572825,Europe & Central Asia
122,MAC,"Macao SAR, China",34584.8590938779,East Asia & Pacific
123,MAR,Morocco,3441.99145507813,Middle East & North Africa
124,MCO,Monaco,240862.18244774,Europe & Central Asia
125,MDA,Moldova,5714.43048840294,Europe & Central Asia
126,MDG,Madagascar,516.592615982213,Sub-Saharan Africa
127,MEA,Middle East & North Africa,8973.86258463188,
128,MHL,Marshall Islands,6225.17922244115,East Asia & Pacific
129,MIC,Middle income,6491.026846104,
130,MKD,North Macedonia,6591.47131411961,Europe & Central Asia
131,MLI,Mali,833.297255093071,Sub-Saharan Africa
132,MLT,Malta,34127.5105566356,Middle East & North Africa
133,MMR,Myanmar,1149.21121846296,East Asia & Pacific
134,MNA,Middle East & North Africa (excluding high income),3998.58576319152,
135,MNE,Montenegro,10093.4387007266,Europe & Central Asia
136,MNG,Mongolia,5045.50470031666,East Asia & Pacific
137,MOZ,Mozambique,558.298606448221,Sub-Saharan Africa
138,MUS,Mauritius,10256.2303053576,Sub-Saharan Africa
139,MWI,Malawi,645.158692067185,Sub-Saharan Africa
140,NAC,North America,74097.7538121867,
141,NAM,Namibia,5031.11503011478,Sub-Saharan Africa
142,NCL,New Caledonia,35745.1850468561,East Asia & Pacific
143,NER,Niger,585.404929171026,Sub-Saharan Africa
144,NGA,Nigeria,2162.63373428577,Sub-Saharan Africa
145,NIC,Nicaragua,2255.42599496242,Latin America & Caribbean
146,NLD,Netherlands,57025.01245598,Europe & Central Asia
147,NOR,Norway,106177.197179078,Europe & Central Asia
148,NPL,Nepal,1336.54604729847,South Asia
149,NRU,Nauru,11970.9382798352,East Asia & Pacific
150,NZL,New Zealand,48418.5916631992,East Asia & Pacific
151,OED,OECD members,43431.3188607747,
152,OMN,Oman,25056.7948608378,Middle East & North Africa
153,PAK,Pakistan,1588.8798287911,South Asia
154,PAN,Panama,17357.628633794,Latin America & Caribbean
155,PER,Peru,7125.82993135746,Latin America & Caribbean
156,PHL,Philippines,3498.5098055874,East Asia & Pacific
157,PNG,Papua New Guinea,3115.92292304288,East Asia & Pacific
158,PRE,Pre-demographic dividend,1558.02127680397,
159,PRT,Portugal,24515.2658507319,Europe & Central Asia
160,PRY,Paraguay,6153.05565720044,Latin America & Caribbean
161,PSE,West Bank and Gaza,3789.32796575153,Middle East & North Africa
162,PSS,Pacific island small states,3912.18563859534,
163,PST,Post-demographic dividend,50886.3327303654,
164,PYF,French Polynesia,18984.8510962405,East Asia & Pacific
165,QAT,Qatar,87661.4501457275,Middle East & North Africa
166,ROU,Romania,15786.8017421977,Europe & Central Asia
167,RUS,Russian Federation,15270.7060546875,Europe & Central Asia
168,RWA,Rwanda,966.232071361993,Sub-Saharan Africa
169,SAS,South Asia,2287.41612436406,
170,SAU,Saudi Arabia,30447.8837074473,Middle East & North Africa
171,SDN,Sudan,1102.146484375,Sub-Saharan Africa
172,SEN,Senegal,1598.72643336012,Sub-Saharan Africa
173,SGP,Singapore,82807.6290622897,East Asia & Pacific
174,SLB,Solomon Islands,2205.25180509148,East Asia & Pacific
175,SLE,Sierra Leone,475.795727844622,Sub-Saharan Africa
176,SOM,Somalia,592.103121972088,Sub-Saharan Africa
177,SSA,Sub-Saharan Africa (excluding high income),1700.1021810069,
178,SSF,Sub-Saharan Africa,1701.24538173745,
179,SST,Small states,14684.0579128602,
180,STP,Sao Tome and Principe,2386.6961758184,Sub-Saharan Africa
181,SUR,Suriname,5858.82466074423,Latin America & Caribbean
182,SVK,Slovak Republic,21256.8084273666,Europe & Central Asia
183,SVN,Slovenia,28439.3340989687,Europe & Central Asia
184,SWE,Sweden,56373.7885792007,Europe & Central Asia
185,SWZ,Eswatini,3986.88663743798,Sub-Saharan Africa
186,SXM,Sint Maarten (Dutch part),35873.0564894806,Latin America & Caribbean
187,SYC,Seychelles,13250.4558332375,Sub-Saharan Africa
188,TCA,Turks and Caicos Islands,24917.595805527,Latin America & Caribbean
189,TCD,Chad,716.804381134584,Sub-Saharan Africa
190,TEA,East Asia & Pacific (IDA & IBRD countries),10065.0347477818,
191,TEC,Europe & Central Asia (IDA & IBRD countries),11342.4918645243,
192,TGO,Togo,942.649901579536,Sub-Saharan Africa
193,THA,Thailand,6909.9562847948,East Asia & Pacific
194,TJK,Tajikistan,1054.18948358818,Europe & Central Asia
195,TKM,Turkmenistan,8792.5485039672,Europe & Central Asia
